sale_id,lastSalePrice,lastSaleDate
117,103000.0,2009-07-24T00:00:00.000Z
118,839000.0,2013-08-02T00:00:00.000Z
119,500000.0,2021-10-15T00:00:00.000Z
120,156500.0,2021-04-08T00:00:00.000Z
121,0.0,2015-07-27T00:00:00.000Z
122,410000.0,2021-08-12T00:00:00.000Z
123,760000.0,2022-03-14T00:00:00.000Z
124,320000.0,2009-10-01T00:00:00.000Z
125,538500.0,2023-08-17T00:00:00.000Z
126,0.0,2021-08-23T00:00:00.000Z
127,710000.0,2015-07-16T00:00:00.000Z
128,700000.0,2014-12-29T00:00:00.000Z
129,70000.0,2004-01-26T00:00:00.000Z
130,65000.0,2009-11-02T00:00:00.000Z
131,190000.0,2015-03-20T00:00:00.000Z
132,641525.0,2018-06-18T00:00:00.000Z
133,125000.0,2005-04-26T00:00:00.000Z
134,86200.0,1992-08-01T00:00:00.000Z
135,300000.0,2018-10-12T00:00:00.000Z
136,0.0,2018-09-14T00:00:00.000Z
137,271000.0,2020-05-20T00:00:00.000Z
138,0.0,2004-11-02T00:00:00.000Z
139,0.0,2019-11-25T00:00:00.000Z
140,152000.0,2018-11-27T00:00:00.000Z
141,235000.0,2020-12-15T00:00:00.000Z
142,172200.0,2013-07-24T00:00:00.000Z
143,320000.0,2013-09-05T00:00:00.000Z
144,269000.0,2021-07-28T00:00:00.000Z
145,49000.0,1984-03-01T00:00:00.000Z
146,267500.0,2010-12-14T00:00:00.000Z
147,335414.0,2010-09-30T00:00:00.000Z
148,790000.0,2004-01-23T00:00:00.000Z
149,227000.0,2000-07-14T00:00:00.000Z
150,95000.0,2006-02-17T00:00:00.000Z
151,125133.0,2016-06-24T00:00:00.000Z
152,627500.0,2018-06-07T00:00:00.000Z
153,123000.0,2018-06-18T00:00:00.000Z
154,0.0,2013-03-28T00:00:00.000Z
155,145500.0,2014-08-11T00:00:00.000Z
156,78000.0,2017-11-22T00:00:00.000Z
157,0.0,2009-05-06T00:00:00.000Z
158,0.0,2019-09-17T00:00:00.000Z
159,0.0,2016-03-10T00:00:00.000Z
160,200000.0,2021-05-10T00:00:00.000Z
161,70000.0,2001-08-15T00:00:00.000Z
162,211000.0,2019-08-29T00:00:00.000Z
163,24500.0,2013-08-14T00:00:00.000Z
164,485935.0,2021-05-28T00:00:00.000Z
165,49000.0,1986-09-01T00:00:00.000Z
166,260000.0,2021-06-09T00:00:00.000Z
167,599900.0,2019-07-11T00:00:00.000Z
168,0.0,2020-08-18T00:00:00.000Z
169,75000.0,2014-09-25T00:00:00.000Z
170,0.0,2013-08-29T00:00:00.000Z
171,330000.0,2016-04-01T00:00:00.000Z
172,245000.0,2021-10-04T00:00:00.000Z
173,296885.0,2001-12-07T00:00:00.000Z
174,485000.0,2018-06-29T00:00:00.000Z
175,145000.0,2015-04-01T00:00:00.000Z
176,0.0,2008-02-05T00:00:00.000Z
177,200000.0,2018-08-24T00:00:00.000Z
178,555000.0,2020-11-24T00:00:00.000Z
179,280000.0,2020-01-31T00:00:00.000Z
180,400000.0,2007-10-31T00:00:00.000Z
181,85000.0,2009-05-01T00:00:00.000Z
182,120000.0,1995-09-01T00:00:00.000Z
183,60000.0,1997-05-29T00:00:00.000Z
184,36576.0,1994-11-14T00:00:00.000Z
185,58000.0,1977-09-09T00:00:00.000Z
186,251000.0,2020-10-30T00:00:00.000Z
187,0.0,2015-06-01T00:00:00.000Z
188,338139.0,2007-02-02T00:00:00.000Z
189,0.0,2020-12-09T00:00:00.000Z
190,348000.0,2020-08-28T00:00:00.000Z
191,0.0,2020-07-02T00:00:00.000Z
192,175000.0,2018-05-11T00:00:00.000Z
193,155000.0,2009-07-16T00:00:00.000Z
194,180000.0,2022-10-03T00:00:00.000Z
195,290500.0,2022-01-19T00:00:00.000Z
196,80000.0,2001-06-18T00:00:00.000Z
197,0.0,2018-11-02T00:00:00.000Z
198,217500.0,1999-01-28T00:00:00.000Z
199,0.0,2013-05-23T00:00:00.000Z
200,87900.0,1999-05-03T00:00:00.000Z
201,545000.0,2022-06-03T00:00:00.000Z
202,620000.0,2004-01-27T00:00:00.000Z
203,637500.0,2005-02-23T00:00:00.000Z
204,320000.0,2021-08-24T00:00:00.000Z
205,0.0,2018-07-16T00:00:00.000Z
206,985000.0,2018-05-17T00:00:00.000Z
207,159000.0,1997-10-01T00:00:00.000Z
208,309000.0,2013-11-14T00:00:00.000Z
209,187000.0,2005-04-11T00:00:00.000Z
210,2500.0,2017-07-17T00:00:00.000Z
211,30100.0,2012-08-21T00:00:00.000Z
212,393000.0,2017-08-28T00:00:00.000Z
213,115000.0,2016-09-22T00:00:00.000Z
214,125000.0,2020-12-29T00:00:00.000Z
215,860000.0,2019-02-22T00:00:00.000Z
216,0.0,1993-10-15T00:00:00.000Z
217,400000.0,2022-02-11T00:00:00.000Z
218,204000.0,2017-07-24T00:00:00.000Z
219,12000.0,2020-01-16T00:00:00.000Z
220,350000.0,2022-04-01T00:00:00.000Z
221,126000.0,2000-09-06T00:00:00.000Z
222,80000.0,1999-02-26T00:00:00.000Z
223,0.0,2018-10-15T00:00:00.000Z
224,24000.0,2017-01-30T00:00:00.000Z
225,348840.0,2019-09-04T00:00:00.000Z
226,400000.0,2019-10-25T00:00:00.000Z
227,60000.0,1998-06-10T00:00:00.000Z
228,135000.0,1987-10-01T00:00:00.000Z
229,200000.0,2016-02-23T00:00:00.000Z
230,214500.0,1997-11-24T00:00:00.000Z
231,74500.0,1987-05-01T00:00:00.000Z
232,0.0,2011-04-05T00:00:00.000Z
233,142000.0,2016-10-26T00:00:00.000Z
234,0.0,2017-11-28T00:00:00.000Z
235,200000.0,2017-03-16T00:00:00.000Z
236,161000.0,2015-06-22T00:00:00.000Z
237,341800.0,2008-08-04T00:00:00.000Z
238,1210000.0,2022-03-10T00:00:00.000Z
239,218000.0,2020-02-14T00:00:00.000Z
240,0.0,2021-07-16T00:00:00.000Z
241,80000.0,2013-01-23T00:00:00.000Z
242,0.0,2021-02-22T00:00:00.000Z
243,46450.0,1999-10-29T00:00:00.000Z
244,399000.0,2021-12-10T00:00:00.000Z
